placeKey	newContext
Abilene	A region around the city of Abila, northwest of Damascus, ruled over by Lysanias.
Accad	A town in Mesopotamia, which was part of the kingdom of Nimrod in the region of Shinar.
Acco	A seaport town on the coast of the Mediterranean in the territory of Asher; later known as Ptolemais.
Achaia	A Roman province in Greece which included the northern part of the Peloponnese Peninsula and the city of Corinth. Many early Christian communities and missionary activities were located here.
Adramyttium	A seaport town in Mysia.
Aenon	A town near Salim and the Jordan River where John the Baptist was baptizing (John 3:23).
Ai	Ai of Ephraim: A town near Bethel in the territory of Ephraim; probably to be identified with Aiath. After an initial defeat, the Canaanite town was eventually conquered by the Israelites (Joshua 7–8).
Alexandria	A major city in Egypt located on the Mediterranean coast. It was founded by Alexander the Great. The city had a large Jewish population and later became a center of early Christianity.
Amalek	Amalek Place: The territory in the Negev inhabited by the Amalekites, a nomadic group regarded as descendants of Esau, who were enemies of Israel and ultimately destroyed by Saul (1 Samuel 15:7).
Ammon	A nation located east of the Jordan River. It was founded by Ben-Ammi, son of Lot (Genesis 19:38). 
Amphipolis	The capital of southeast Macedonia; Paul and Silas passed through on their way to Thessalonica.
Antioch	Antioch of Syria: The capital of the Roman province Syria, located on the Orontes River, where followers of Jesus were first called Christians.
Antioch.2	Antioch of Pisidia: A city in Pisidia, located on the Via Sebaste, where Paul traveled to during his first missionary journey.
Antipatris	A city rebuilt by Herod the Great, east of Joppa; Aphek in the Old Testament.
Aphek	Aphek of Sharon: A town in the Sharon Plain, west of Shiloh; Antipatris in the New Testament.
Apollonia	A city in Macedonia located on the Via Egnatia.
Arabah	The deep depression through which the Jordan River flows, which runs from the south of the Sea of Galilee via the Dead Sea into the Gulf of Aqabah.
Arabia	A peninsula located east and south-east of Israel, consisting primarily of steppe and desert and inhabited by nomadic tribes.
Arad	A Canaanite town located in the Negev, near the wilderness of Judah, conquered by the Israelites.
Aram	A land and ethnic group located in Syria, regarded as descendants of Shem; often referred to as Syria in the Old Testament.
Ararat	A mountainous area and nation, also known as Urartu; located in East Asia Minor (ABD); called in a prophecy to punish Babylon.
Arimathea	A city in Judea, northwest of Jerusalem; home to Joseph, who provided a tomb for Jesus after he was crucified (Matthew 27:57–61; Mark 15:42–47; Luke 23:50–56; John 19:38–42). 
Arnon	A river east of the Jordan which constitutes the border between Moab and Ammon.
Aroer.2	Aroer of Reuben: A town in the territory of Reuben, located on the rim of the valley of the Arnon River.
Aroer.3	Aroer of Judah: A town in the territory of Judah located to the West of the Jordan River.
Arvad	A town on a small island off the coast of Phoenicia; its people are considered descendants of Canaan (ABD).
Ashdod	A town in Philistia; one of the five cities of the Philistines.
Ashkelon	A town in Philistia; one of the five cities of the Philistines.
Ashtaroth	A Levitical town in the territory of Manasseh, east of the Jordan River, assigned to the clan of Gershon; possibly to be identified with Beeshterah, Ashteroth-Karnaim, and Karnaim. It was the former residence of King Sihon of Heshbon and King Og of Bashan and conquered by the Israelites.
Asia	The Roman province of Asia, primarily the western part of present-day Turkey.
Asshur	A city on the Tigris River and first capital of Assyria.
Assos	A seaport city of Mysia where Paul met up with Luke during his third missionary journey.
Assyria	A nation in northern Mesopotamia, with Nineveh as its capital; regarded as descendants of Shem.
Athens	A principal city of Greece where Paul preached at the Areopagus.
Attalia	A seaport in Pamphylia where 
Azekah	A fortified town in the foothills of the territory of Judah.
Azotus	A city on the coast of southern Palestine; Called Ashdod in the Old Testament.
Baal-zephon	A location in eastern Egypt, near the Sea of Reeds and west of Pi-Hahiroth; the Israelites camped near there during the exodus.
Babel	A town in Mesopotamia founded by Nimrod where the tower of Babel was built; capital of the Chaldean Empire.
Babylon	An ancient city in southern Mesopotamia, located on the Euphrates River; capital of the Babylonian Empire.
Babylonia	A region in southern Mesopotamia through which the Euphrates and Tigris rivers flow.
Bashan	A region northeast of the Jordan River which was ruled by King Og and later assigned to half of the tribe of Manasseh.
BeautifulGate	A gate of Herod's Temple in Jerusalem where a lame man was healed by Peter and John (Acts 3:1–10).
Beersheba	Beersheba in the Negev: A town located in the Negev, at the southern border of Judah; used especially in combination with Dan at the northern border of Israel to refer to all Israel.
Berea	A city in Macedonia where Paul and Silas traveled to after being driven out of Thessalonica.
Berothai	A town in the territory of Hadadezer, king of Zobah.
Besor	A stream in the territory of the Philistines where some of David's men rested while the rest continued their pursuit of those who raided Ziklag (1 Samuel 30:9–10).
Bethany	Bethany on the Mount of Olives: A village on the Mount of Olives, where Mary, Martha, and Lazarus lived (John 11:1).
Bethany.2	
Beth-aven.2	Beth-aven of Ephraim: A town in the territory Of Ephraim; probably a pun or word-play on the name Bethel ("house of God").
Bethel	Bethel of Ephraim: A town and cult center in the territory of Ephraim, near the border of Benjamin; also referred to as Beth-Aven, or simply Aven.
Bethesda	A pool in Jerusalem where people came to be healed; Jesus healed a man who has been an invalid for 38 years there.
Bethlehem	Bethlehem of Judah: A town in the territory of Judah, southwest of Jerusalem, where Jesus was born; ancestral town of King David.
Beth-peor	A town in Moab allotted to the tribe of Reuben, near where Moses introduced the Law to the Israelites. 
Bethphage	A village east of Bethany (on the Mount of Olives), where Jesus sent two of his disciples to retrieve a donkey for him to ride upon as he entered Jerusalem (Matthew 21:1–11; Mark 11:1–11; Luke 19:28–40).
Bethsaida	A town northeast of the Sea of Galilee; hometown of Peter, Andrew, and Philip (John 1:44).
Beth-shan	A border town in the territory of West Manasseh, near Zarethan, where Saul's body was hung after he was killed.
Beth-shemesh	Beth-shemesh of Judah: A Levitical town in the territory of Judah, assigned to the clan of Aaron.
Bezer	A Levitical town of refuge in the wilderness in the territory of Reuben, assigned to the clan of Merari.
Bithynia	A province in northern Asia Minor; Paul, Silas, and Timothy tried to enter while traveling through the province of Asia, but were not permitted by the Spirit of Jesus (Acts 16:7).
Bozrah.2	Bozrah of Edom: The capital of Edom.
Caesarea	A seaport on the coast of Palestine, south of Mount Carmel; home of Philip the evangelist.
CaesareaPhilippi	A city at the foot of Mount Hermon, where Peter makes his confession of Christ (Matthew 16:13–20; Mark 8:27–30)
Cana	A city in Galilee where Jesus turned water into wine; home of Jesus' disciple Nathanael.
Canaan	The region in the southern Levant inhabited by people who were regarded as descendants of Canaan, son of Ham, son of Noah; settled by Abraham.
Capernaum	A city on the northwest coast of the Sea of Galilee. After leaving Nazareth, Jesus moved here where he did much of his ministry.
Cappadocia	A province in the interior of Asia Minor; some of the crowd who were at Pentecost were from here (Acts 2:5–13).
Carchemish	A town on the Euphrates River where Nebuchadnezzar defeated the Assyrians and the Egyptians (Jer 46:1–2).
CarmelMount	A coastal mountain range in northern Israel, west of the Jezreel Valley, where the prophet Elijah confronted the prophets of Baal (1 Kings 18:16–35).
Carthage	An ancient seaport city on the northern coast of Africa.
Cauda	A small island south of Crete which Paul passed on his voyage to Rome, prior to the shipwreck.
Cenchreae	A seaport of the city of Corinth; home of Phoebe who was a servant of the church there.
Chaldea	The land in lower Mesopotamia inhabited by the descendants of Chesed, son of Nahor.
Chios	An island, with a city of the same name, in the Aegean Sea; Paul and his companions passed the island while traveling to Jerusalem.
Chorazin	A city in Galilee on which Jesus pronounced woe due to its inhabitants lack of repentance.
