LookupKey	Id	Gloss	Definition	spell-N	Category	Domain	Priority
aaron	Ἀαρών	Aaron	the elder brother of Moses and Israel's first high priest	Aaron	PN	person	5
aaron	אַהֲרֹן	Aaron	brother of Moses; first high priest; tribe of Levi	Aaron	PN	person	6
aaron	פַּרְעֹה	Pharaoh	title of Egyptian kings	Pharaoh	PN	person; titles	6
aaron	Ααρων (DC)	Aaron	NEW		PN	person	9
abaddon	Ἀβαδδών	Abaddon; Destroyer	the Hebrew name for the ruling angel in Hell	Abaddon	PN	supernatural beings and powers	0
abag	ἀσκοπυτίνη (DC)	wineskin, water bag	NEW		RE	container	14
abagtha	אֲבַגְתָא	Abagtha	eunuch; servant of king Ahasuerus (Xerxes)	Abagtha	PN	person	6
abana	אֲמָנָה-1	Amanah	river; Syria	Abana	PN	nature	1
abarim	עֲבָרִים	Abarim	range of mountains; Moab	Abarim	PN	nature	1
abasin	νιπτήρ	washbasin	a large bowl, normally made of clay, used for washing of hands, face, and feet	a basin	RE	artifacts; containers	10
abason	νιπτήρ	washbasin	a large bowl, normally made of clay, used for washing of hands, face, and feet	a basin	RE	artifacts; containers	14
abataza	Αβαταζα (DC)	Abagtha	NEW		PN	person	9
abba	ἀββά	abba; father	(title for God; literally: father) one who combines aspects of supernatural authority and care for his people	Abba	BE	supernatural beings and powers; titles; kinship	10
abda	עַבְדָּא-1	Abda	father of Adoniram, official	Abdain	PN	person	6
abda	עַבְדָּא-2	Abda	son of Shammua (Shemaiah); Levite; after exile	Abda	PN	person	6
abdain	עַבְדָּא-1	Abda	father of Adoniram, official	Abdain	PN	person	10
abdeel	עַבְדְּאֵל	Abdeel	father of Shelemiah, official, time of king Jehoiakim	Abdeel	PN	person	6
abdi	עַבְדִּי-1	Abdi	son of Malluch; ancestor of Ethan; tribe of Levi	Abdi	PN	person	6
abdi	עַבְדִּי-2	Abdi	father of Kish; tribe of Levi; time of Hezekiah	Abdi	PN	person	6
abdi	עַבְדִּי-3	Abdi	man; married a foreign wife; after exile	Abdi	PN	person	6
abdiel	עַבְדִּיאֵל	Abdiel	son of Guni; tribe of Gad	Abdiel	PN	person	6
abdon	עַבְדּוֹן-1	Abdon	town; for Levites; territory of Asher	Abdon	PN	settlement	1
abdon	עֶבְרוֹן	Abdon	town; for Levites; territory of Asher	Abdon	PN	settlement	5
abdon	עַבְדּוֹן-2	Abdon	son of Hillel; judge of Israel	Abdon	PN	person	6
abdon	עַבְדּוֹן-3	Abdon	son of Shashak; family head; tribe of Benjamin	Abdon	PN	person	6
abdon	עַבְדּוֹן-4	Abdon	son of Jeiel; tribe of Benjamin	Abdon	PN	person	6
abdon	עַבְדּוֹן-5	Abdon	son of Micah; official; time of Josiah	Abdon	PN	person	6
abednego	עֲבֵד נְגוֹ (AR)	Abednego	Chaldean name of Azariah, friend of Daniel	Abednego	PN	person	6
abednego	עֲבֵד נְגוֹ	Abednego	Chaldean name of Azariah, friend of Daniel	Abednego	PN	person	6
abel	אָבֵל	Abel	town in the territory of Naphtali; short name for Abel-Beth-Maacah; also known as Abel-Maim	Abel	PN	settlement	1
abel	אָבֵל מַיִם	Abel-Maim	town in Naphtali; also known as Abel-Beth-Maacah and Abel	Abel Maim	PN	settlement	5
abel	Ἅβελ	Abel	the second son of Adam and Eve and the brother of Cain	Abel	PN	person	5
abel	הֶבֶל	Abel	son of Adam	Abel	PN	person	6
abelbethmaacah	אָבֵל בֵּית־מַעֲכָה	Abel-Beth-Maacah	town in Naphtali; also known as Abel and Abel-Maim	Abel Beth Maakah	PN	settlement	1
abelbethmaachah	אָבֵל בֵּית־מַעֲכָה	Abel-Beth-Maacah	town in Naphtali; also known as Abel and Abel-Maim	Abel Beth Maakah	PN	settlement	5
abelbethmaakah	אָבֵל בֵּית־מַעֲכָה	Abel-Beth-Maacah	town in Naphtali; also known as Abel and Abel-Maim	Abel Beth Maakah	PN	settlement	5
abelkeramim	אָבֵל כְּרָמִים	Abel-Keramim	town or village in Ammon	Abel Keramim	PN	settlement	1
