Id	Strong	Transliteration	Gloss	Definition	Category	Domain	References	spell-N	spell-n	spell-E	spell-G	spell-R	spell-T	spell-K	pc-N	pc-n	pc-E	pc-G	pc-R	pc-T	pc-K
אֲבַגְתָא	H0005	ʾăbagtāʾ	Abagtha	eunuch; servant of king Ahasuerus (Xerxes)	PN	person	017001010	Abagtha	Abagtha	Abagtha	Abagtha	Abagtha	Abagtha	Abagtha	100	100	100	100	100	100	100
אֵבֶה	H0016	ʾēbeh	papyrus, reeds	tall straight plant, growing in rivers and marshes (Arundo donax or Cyperus papyrus); used for making light boats	FL	grasses	018009026	papyrus	papyrus	reed	passes	reed	reed		100	100	100	100	100	100	0
אֵבוּס	H0018	ʾēbûs	manger, crib, feed trough	long open container; made of wood or stone; for feeding domestic animals	RE	containers; animal husbandry	018039009 020014004 023001003	manger	manger	manger	master	crib	feeding trough	crib	100	100	67	33	67	67	100
אֲבַטִּיחַ	H0020	ʾăbaṭṭiyaḥ	melon	sweet, juicy fruit, produced by a trailing plant (Citrullus vulgaris) cultivated in Egypt along the river Nile; much appreciated, used for food, drink, and medicine, including the seeds	FL	fruits	004011005	melons	melons	melons	watermelons	melons	melons	melons	100	100	100	100	100	100	100
אֲבִי	H0021	ʾăbiy	Abi	daughter of Zechariah; wife of Ahaz; mother of Hezekiah; also known as Abijah	PN	person	012018002	Abijah	Abijah	Abi	Abijah	Abi	Abi	Abi	100	100	100	100	100	100	100
אֲבִי הָעֶזְרִי	H0033	ʾăbiy hāʿezriy	Abiezrite	member of clan of Abiezer	PN	group	007006011 007006024 007008032	Abiezrites	Abiezrites	Abiezrites	Abiezer	Abiezrites	Abiezrites	Abi-ezrites	67	67	67	100	67	67	67
אֲבִי־עַלְבוֹן	H0045	ʾăbiy-ʿalbôn	Abi-Albon	warrior in time of king David; also known as Abiel	PN	person	010023031	Abi-Albon	Abi-Albon	Abi-albon	Abialbon	Abi-albon	Abi-Albon	Abi-albon	100	100	100	100	100	100	100
אֲבִיאֵל-1	H0022	ʾăbîʾēl-1	Abiel	father of Kish and Ner, grandfather of king Saul and Abner; from the tribe of Benjamin	PN	person	009009001 009014051	Abiel	Abiel	Abiel	Abiel	Abiel	Abiel	Abiel	100	100	100	100	100	100	100
אֲבִיאֵל-2	H0022	ʾăbîʾēl-2	Abiel	warrior in the time of king David	PN	person	013011032	Abiel	Abiel	Abiel	Abiel	Abiel	Abiel	Abiel	100	100	100	100	100	100	100
אֲבִיאָסָף	H0023	ʾăbîʾāsāp	Abiasaph	son of Korah, from the tribe of Levi	PN	person	002006024	Abiasaph	Abiasaph	Abiasaph	Abiasaph	Abiasaph	Abiasaph	Abiasaph	100	100	100	100	100	100	100
