key	en	es	fr	ne
statusValue_0_text	Blank	En blanco	Vide	खाली
statusValue_0_help	Provide the text to be used in this label.	Proporcione el texto que se usará en esta etiqueta.	Fournissez le texte à utiliser pour cette étiquette.	यस लेबलमा प्रयोग हुने पाठ प्रदान गर्नुहोस्।
statusValue_1_text	Multiple Options	Múltiples opciones	Plusieurs options	धेरै विकल्पहरू
statusValue_1_help	Multiple options have been provided for you to select from. Ensure that you don't have any bad renderings, and then edit the label to remove unwanted options.	Se han proporcionado múltiples opciones para que seleccione. Asegúrese de que no haya traducciones incorrectas y luego edite la etiqueta para eliminar las opciones no deseadas.	Plusieurs options vous ont été proposées. Assurez-vous qu'il n'y a pas de mauvaises traductions, puis modifiez l'étiquette pour supprimer les options indésirables.	तपाईंको छनोटका लागि धेरै विकल्पहरू प्रदान गरिएको छ। गलत अनुवाद छैन भनेर सुनिश्चित गर्नुहोस्, अनि अनावश्यक विकल्पहरू हटाउन लेबल सम्पादन गर्नुहोस्।
statusValue_2_text	No renderings	Sin traducciones	Aucune traduction	अनुवाद छैन
statusValue_2_help	Your project does not yet contain any renderings for this term.	Su proyecto aún no contiene ninguna traducción para este término.	Votre projet ne contient pas encore de traduction pour ce terme.	तपाईंको परियोजनामा यो शब्दको लागि कुनै अनुवाद छैन।
statusValue_3_text	Unmatched label	Etiqueta no coincidente	Étiquette non correspondante	मिल्दो लेबल छैन
statusValue_3_help	The label above is not matched by the renderings below.	La etiqueta anterior no coincide con las traducciones a continuación.	L'étiquette ci-dessus ne correspond à aucune des traductions ci-dessous.	माथिको लेबल तलका अनुवादहरूसँग मेल खाँदैन।
statusValue_4_text	Matched	Coincidente	Correspondant	मिल्यो
statusValue_4_help	The term renderings will be able to supply this label to any other map in the project that needs it.	Las traducciones del término podrán propocionar esta etiqueta a cualquier otro mapa del proyecto que la necesite.	Les traductions du terme pourront fournir cette étiquette à toute autre carte du projet qui en a besoin.	शब्द अनुवादहरूले यो लेबल आवश्यक पर्ने अन्य नक्सामा पनि उपलब्ध गराउन सक्छन्।
statusValue_5_text	Guessed	Conjeturada	Deviné	अनुमान गरिएको
statusValue_5_help	This label matches a guessed rendering which must be approved.	Esta etiqueta coincide con una traducción conjeturada que debe ser aprobada.	Cette étiquette correspond à une traduction devinée qui doit être approuvée.	यो लेबल अनुमान गरिएको अनुवादसँग मेल खान्छ, जसलाई स्वीकृत गर्नुपर्छ।
statusValue_6_text	Label cannot be derived from rendering	La etiqueta no puede derivarse de la traducción	L'étiquette ne peut pas être dérivée de la traduction	लेबल अनुवादबाट व्युत्पन्न गर्न सकिँदैन
statusValue_6_help	The rendering below does not have enough information to produce this label for other maps. If the rendering is correct,	La traducción abajo no tiene suficiente información para producir esta etiqueta para otros mapas. Si la traducción es correcta,	La traduction ci-dessous ne contient pas suffisamment d'informations pour produire cette étiquette pour d'autres cartes. Si la traduction est correcte,	तलको अनुवादले अन्य नक्साहरूका लागि यो लेबल उत्पादन गर्न पर्याप्त जानकारी छैन। यदि अनुवाद सही छ भने,
statusValue_7_text	Bad explicit form	Forma explícita incorrecta	Forme explicite incorrecte	गलत स्पष्ट रूप
statusValue_7_help	The renderings specify an explicit map form, but it is not matched by any rendering.	Las traducciones especifican una forma explícita para el mapa, pero no coincide con ninguna traducción.	Les traductions spécifient une forme explicite pour la carte, mais aucune traduction ne la correspond.	अनुवादहरूले स्पष्ट नक्सा रूप तोकेको छ, तर कुनै अनुवादसँग मेल खाँदैन।
statusValue_8_text	Incomplete	Incompleto	Incomplet	अधूरो
statusValue_8_help	There are verses where we would expect this rendering to be used, but it is not present there. Adjust the renderings to include more renderings, or mark those verses as denied.	Hay versículos donde esperaríamos que se usara esta traducción, pero no está presente allí. Ajuste las traducciones para incluir más traducciones o marque esos versículos como denegados.	Il y a des versets où nous nous attendons à ce que cette traduction soit utilisée, mais elle n'est pas présente. Ajustez les traductions pour en inclure davantage, ou marquez ces versets comme refusés.	त्यहाँ केही पदहरू छन् जहाँ यो अनुवाद प्रयोग हुने अपे क्षा गरिएको छ, तर त्यो त्यहाँ उपस्थित छैन। अनुवादहरूलाई थप अनुवादहरू समावेश गर्न समायोजन गर्नुहोस्, वा ती पदहरूलाई अस्वीकृत रूपमा चिन्ह लगाउनुहोस्।
statusValue_9_text	Multiple renderings	Múltiples traducciones	Plusieurs traductions	धेरै अनुवादहरू
statusValue_9_help	The renderings list below contains multiple renderings, and does not explicitly specify which is the map form. If multiple rendering are necessary,	La lista de traducciones abajo contiene múltiples traducciones y no especifica explícitamente cuál es la forma del mapa. Si son necesarias múltiples traducciones,	La liste des traductions ci-dessous contient plusieurs traductions et ne spécifie pas explicitement quelle est la forme de la carte. Si plusieurs traductions sont nécessaires,	तलको अनुवाद सूचीमा धेरै अनुवादहरू छन्, र यसले स्पष्ट रूपमा नक्सा रूप निर्दिष्ट गर्दैन। यदि धेरै अनुवादहरू आवश्यक छन् भने,
addMapForm	add an explicit map form.	agregue una forma explícita del mapa.	ajoutez une forme explicite pour la carte.	स्पष्ट नक्सा रूप थप्नुहोस्।
addRendering	Add rendering	Agregar traducción	Ajouter un rendu	अनुवाद थप्नुहोस्
addToRenderings	Add to renderings	Agregar a traducciones	Ajouter aux rendus	अनुवादहरूमा थप्नुहोस्
approveRendering	Approve Rendering	Aprobar traducción	Approuver le Rendu	अनुमोदन गर्नुहोस्
baseLayerTypes	Base layer types	Tipos de capa base	Types de couche de base	आधार तहका प्रकारहरू
browseTemplate	Browse for map template	Buscar plantilla de mapa	Parcourir les modèles de carte	नक्सा टेम्प्लेट खोज्नुहोस्
cancel	Cancel	Cancelar	Annuler	रद्द गर्नुहोस्
close	Close	Cerrar	Fermer	बन्द गर्नुहोस्
enterLabel	Enter translated label	Ingrese la etiqueta traducida	Entrez l'étiquette traduite	अनुवादित लेबल प्रविष्ट गर्नुहोस्
enterRenderings	Enter renderings here, one per line.\nOptionally, explicitly mark the map form of the rendering by adding it as a comment that begins with '@'.\ne.g. Misra* (@Misradesh)	Ingrese los traducciones aquí, uno por línea.\nOpcionalmente, marque explícitamente la forma del mapa agregándola como un comentario que comience con '@'.\np.ej. Misra* (@Misradesh)	Entrez les rendus ici, un par ligne.\nOptionnellement, marquez explicitement la forme de la carte en l'ajoutant comme un commentaire commençant par '@'.\np.ex. Misra* (@Misradesh)	यहाँ अनुवादहरू प्रविष्ट गर्नुहोस्, प्रत्येक लाइनमा एक।\nवैकल्पिक रूपमा, '@' बाट सुरु हुने टिप्पणीको रूपमा अनुवादको नक्सा रूप स्पष्ट रूपमा चिन्ह लगाउनुहोस्।\nजस्तै: Misra* (@Misradesh)
export	Export to data merge file	Exportar a archivo de combinación de datos	Exporter vers un fichier de fusion de données	डाटा मर्ज फाइलमा निर्यात गर्नुहोस्
fileFormats	File formats	Formatos de archivo	Formats de fichier	फाइल ढाँचाहरू
found	Found	Encontrado	Trouvé	फेला पर्यो
gloss	Gloss	Glosa	Glossaire	व्याख्या
guessed	Guessed	Conjeturada	Devinés	अनुमान गरिएको
invalidUsfm	Invalid USFM format. Changes not applied.	Formato USFM inválido. Cambios no aplicados.	Format USFM invalide. Modifications non appliquées.	अवैध USFM ढाँचा। परिवर्तनहरू लागू गरिएनन्।
label	Label	Etiqueta	Étiquette	लेबल
labelSize	Label Size	Tamaño de etiqueta	Taille de l'étiquette	लेबलको आकार
labelOpacity	Label Opacity	Opacidad de la etiqueta	Opacité de l'étiquette	लेबलको अपारदर्शिता
language	Language	Idioma	Langue	भाषा
mapView	Map View	Vista de mapa	Vue de la carte	नक्सा दृश्य
noLocations	No locations to display	No hay ubicaciones para mostrar	Aucun emplacement à afficher	देखाउन स्थानहरू छैनन्
noTemplate	No template	Sin plantilla	Aucun modèle	टेम्प्लेट छैन
noReferences	No references found for this term.	No se encontraron referencias para este término.	Aucune référence trouvée pour ce terme.	यो शब्दका लागि कुनै सन्दर्भ फेला परेन।
ok	OK	Aceptar	OK	ठीक छ
owner	Owner	Propietario	Propriétaire	मालिक
refreshLabel	Refresh label	Actualizar etiqueta	Actualiser l'étiquette	लेबल रिफ्रेश गर्नुहोस्
replaceRenderings	Replace renderings and label	Reemplazar traducciones y etiqueta	Remplacer	प्रतिस्थापन गर्नुहोस्
settings	Settings	Configuración	Paramètres	सेटिङहरू
status	Status	Estado	Statut	स्थिति
switchView	Switch view	Cambiar vista	Changer de vue	दृश्य परिवर्तन गर्नुहोस्
tableView	Table View	Vista de tabla	Vue du tableau	तालिका दृश्य
tally	Tally	Conteo	Total	गणना
